,NO2_5d_scott,NO2_5d_tucson
419,20.967857,8.7583332
420,24.303030400000004,15.704761999999999
421,21.2061402,13.946376800000001
422,21.8363095,15.866666599999999
423,20.6041665,14.5673914
424,21.444444333333333,12.775
425,24.889394,20.3583334
426,23.803463200000003,16.1416664
427,27.2674242,18.339394000000002
428,21.131290999999997,20.341666600000003
429,16.208333,14.658333199999998
430,23.986111333333337,14.1462448
431,34.6656926,24.75
432,37.78166660000001,25.0847826
433,35.318182,20.7916666
434,30.4927866,24.960144800000002
435,22.91666675,21.468840800000002
436,19.9375,13.572727
437,30.250000000000007,19.4938406
438,26.9280304,22.3583334
439,22.8173916,18.2206522
440,29.1543476,25.741666599999995
441,27.92789525,20.1547102
442,6.25,10.6666668
443,28.866666799999997,19.6333334
444,26.611904600000003,18.9424244
445,29.6286232,22.259058
446,26.466666600000003,21.5999998
447,29.604166999999997,17.265942000000003
448,19.035818666666668,13.896969799999999
449,19.5128786,20.6822462
450,16.8750002,14.361594
451,20.2492424,15.891666800000001
452,15.640151600000001,15.981060399999999
453,29.472222000000002,19.4782608
454,12.597222,12.116666599999999
455,21.875,13.925
456,,14.2559006
457,,13.5992422
458,,15.257608600000001
459,24.659091000000004,15.288405799999998
460,6.75,12.091666800000002
461,26.5,16.959091
462,,13.9601448
463,,14.2204546
464,,11.1333336
465,22.838768,16.155072399999998
466,10.0,13.237681199999997
467,33.7140155,19.8474638
468,,15.0
469,,16.0439394
470,,12.7113636
471,20.319444333333333,16.594565199999998
472,4.55,11.3583334
473,27.479166499999998,15.764393799999999
474,,11.958695599999999
475,,12.703571400000001
476,,11.9094204
477,18.477053,13.5358452
478,,13.7412282
479,16.708333,12.4
480,,12.294697000000003
481,,9.716666799999999
482,,12.669565200000001
483,24.8200755,15.2597498
484,13.2,12.8500002
485,20.208333333333332,13.368333600000003
486,12.2507578,11.7303032
487,21.0833334,12.7826086
488,18.185606200000002,12.908333199999998
489,25.9416668,20.332576
490,11.25,11.613406000000001
