,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
1361,2000-03-19,0.8749999999999982,0.009957999999999998,1.947917,0.06874950000000007
1620,2000-03-20,-1.0643940000000018,0.015042000000000003,1.952963,-0.014402000000000026
1751,2000-03-21,3.500000000000001,0.0010420000000000013,1.079167,0.006250000000000033
1882,2000-03-22,13.875,-0.002042000000000002,2.1738095,0.119475
2012,2000-03-23,6.922619000000001,0.005082999999999997,2.5395835,0.00833299999999998
2141,2000-03-24,7.318182,0.008374999999999997,2.125325,0.26849600000000007
2654,2000-03-28,1.9015149999999998,-0.0005000000000000004,2.1192100000000003,-0.10148799999999997
2776,2000-03-29,-1.9583329999999997,-0.004832999999999997,1.5333335,0.09791700000000003
3024,2000-03-30,4.745832999999999,0.009186999999999994,2.16354175,0.13455625000000002
3134,2000-03-31,-4.689584000000005,0.016634,1.536458,-0.03645799999999999
3178,2000-04-01,20.938406,-0.008208,1.35,0.79256
3221,2000-04-02,4.693749999999994,0.0058755000000000005,1.8697914999999998,0.23854150000000002
3232,2000-04-03,-1.2101450000000025,0.008959000000000002,0.976488,-0.027083500000000038
3242,2000-04-04,10.293478,-0.0007080000000000003,1.7832425,0.3191125
3252,2000-04-05,13.502193000000002,-0.004666,2.7516775,0.22228249999999994
3263,2000-04-06,-2.875,0.0005000000000000004,1.045833,-0.05625050000000009
3274,2000-04-07,1.5416670000000003,-0.0013749999999999978,-0.05833350000000004,0.010416499999999995
3285,2000-04-08,9.749999999999998,0.012209000000000005,0.4083335000000001,0.11875050000000004
3296,2000-04-09,3.35145,-0.010249999999999995,2.2164210000000004,0.06322449999999999
3189,2000-04-10,-0.7083329999999997,-0.0034999999999999996,0.3687499999999999,-0.041666499999999995
3200,2000-04-11,8.139854499999998,-0.015187500000000007,2.01754675,0.16539850000000003
3210,2000-04-12,17.670454,-0.019645999999999997,2.97395825,0.551042
1111,2000-04-17,9.770751,-0.009708000000000001,3.0666665,0.217935
1242,2000-04-18,2.814394,-0.0050000000000000044,2.7341745,0.05941999999999997
1372,2000-04-19,5.875000000000002,0.0014170000000000016,1.7833335,0.11666699999999997
1630,2000-04-20,12.014493000000003,0.004292000000000001,2.8229165000000003,0.18125049999999998
1761,2000-04-21,0.7916670000000003,0.008417000000000004,4.4020835,0.08749999999999997
1892,2000-04-22,-6.458334000000001,0.015084,3.3958334999999997,-0.014582999999999957
2022,2000-04-23,3.0489130000000007,0.012667000000000001,3.865166,0.11086950000000001
2151,2000-04-24,5.8333340000000025,0.009040999999999997,3.9541665000000004,0.1145835
2279,2000-04-25,10.018115999999997,0.0025000000000000022,3.3820265,0.1516305
