,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
1426,2000-02-12,9.625000000000004,-0.009645500000000001,2.5791665000000004,1.21979125
546,2000-02-13,-1.458333500000002,0.012271,-1.8072917499999999,-0.2291669999999999
674,2000-02-14,4.261775999999994,0.006687000000000002,-0.37083325000000045,0.2823819999999998
802,2000-02-15,14.785326000000001,0.006145999999999998,3.001048,1.08618675
927,2000-02-16,26.624999500000005,0.0033755,4.8947915,1.2547557499999997
1054,2000-02-17,-3.1704545000000017,0.0193125,0.4238672499999999,0.23500925
1181,2000-02-18,17.770833000000003,0.00027150000000000264,2.7239584999999997,0.95738975
1308,2000-02-19,27.833333999999997,6.200000000000129e-05,5.961458250000001,1.3583335
1564,2000-02-20,7.187500499999999,0.0085215,2.4281252500000003,0.7750002499999998
1692,2000-02-21,-4.246212500000002,0.012125,-0.4065595,-0.1796647500000001
1820,2000-02-22,14.114130999999997,0.0025830000000000002,-0.20118874999999992,0.30000025
1946,2000-02-23,11.708333000000003,0.002125499999999999,0.8853002499999999,0.26458349999999986
2071,2000-02-24,-2.848731500000003,0.0157505,-0.9843747500000004,-0.4740487499999999
2196,2000-02-25,21.916666,-0.0036249999999999963,1.70520825,0.1875
2322,2000-02-26,20.833333500000002,0.001853999999999998,2.859375,0.8208332499999997
2448,2000-02-27,14.6875,0.0155625,3.03333325,1.0052079999999999
2575,2000-02-28,-5.445652000000003,0.016166999999999997,-0.8766097499999999,-0.18248050000000005
2701,2000-02-29,15.793478000000004,0.002437500000000002,2.9614262499999997,0.5411234999999999
2778,2000-03-01,14.116666500000001,-0.020834000000000002,3.5895835,1.4052084999999999
2821,2000-03-02,13.219697000000004,0.009979500000000002,2.5243272500000002,0.22753599999999996
2832,2000-03-03,12.916666999999997,0.0057295,2.092708,0.6262227499999999
2843,2000-03-04,10.833333,0.0038954999999999997,0.5575000000000001,0.59583325
2853,2000-03-05,-12.870833000000001,-0.002854499999999996,0.7333334999999999,0.7447915000000002
2864,2000-03-06,20.6802535,-0.007771499999999997,0.9968749999999997,0.41875
2875,2000-03-07,2.304348000000001,0.002957999999999999,-0.8815449999999999,0.24813049999999998
2886,2000-03-08,13.821271500000002,-0.0038959999999999967,-0.4375002500000002,0.010700500000000002
2896,2000-03-09,7.505952499999999,-0.014291500000000009,0.3656250000000001,0.6145832499999999
2789,2000-03-10,0.8333329999999997,0.0035620000000000027,-1.2104164999999998,-0.08229149999999996
2800,2000-03-11,22.9374995,-0.02260349999999999,0.05937524999999999,0.9489585
2811,2000-03-12,4.698369499999998,-0.005041500000000001,2.76216975,0.840987
557,2000-03-13,11.693840500000004,0.008042,-1.2102617500000001,0.3223275
685,2000-03-14,18.5416665,0.004895500000000004,-1.0667894999999998,0.673958
813,2000-03-15,13.798007000000009,0.001854499999999995,-1.3171135,0.6128170000000001
938,2000-03-16,9.166666999999997,0.0042705,-1.5915244999999998,0.35833375
1065,2000-03-17,3.5000000000000036,0.006250499999999999,-1.8260152499999998,0.2604169999999999
